rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2020_data-0,AO3_2020_data,1,15,Anthony J. Crowley x Aziraphale,2,slash,20298,28726,Good Omens (TV),None
AO3_2020_data-1,AO3_2020_data,2,72,Lán Zhàn | Lán Wàngjī x Wèi Yīng | Wèi Wúxiàn,2,slash,10671,13130,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,None
AO3_2020_data-2,AO3_2020_data,3,8,Ben Solo | Kylo Ren x Rey,2,slash,9076,21306,Star Wars Sequel Trilogy,None
AO3_2020_data-3,AO3_2020_data,4,28,Eddie Kaspbrak x Richie Tozier,2,slash,8441,12227,IT (Movies – Muschietti),None
AO3_2020_data-4,AO3_2020_data,5,new,Geralt of Rivia | The Witcher x Jaskier | Dandelion,2,slash,7573,7573,The Witcher (TV),None
AO3_2020_data-5,AO3_2020_data,6,1,Draco Malfoy x Harry Potter,2,slash,7239,40312,Harry Potter - J. K. Rowling,None
AO3_2020_data-6,AO3_2020_data,7,5,Bakugou Katsuki x Midoriya Izuku | Deku,2,slash,7070,16824,Boku no Hero Academia | My Hero Academia,None
AO3_2020_data-7,AO3_2020_data,8,0,Peter Parker | Spiderman & Tony Stark | Iron Man,2,gen,6807,17366,Marvel Cinematic Universe,None
AO3_2020_data-8,AO3_2020_data,9,-7,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,2,slash,6262,49659,Captain America (Movies),None
AO3_2020_data-9,AO3_2020_data,10,4,Bakugou Katsuki x Kirishima Eijirou | Red Riot,2,slash,6141,15375,Boku no Hero Academia | My Hero Academia,None
AO3_2020_data-10,AO3_2020_data,11,-5,Steve Rogers | Captain America x Tony Stark | Iron Man,2,slash,5613,36264,The Avengers (Marvel Movies),None
AO3_2020_data-11,AO3_2020_data,12,68,Anthony J. Crowley & Aziraphale,2,gen,5503,7928,Good Omens (TV),None
AO3_2020_data-12,AO3_2020_data,13,-8,Jeon Jungkook | Jungkook x Kim Taehyung | V,2,slash,5254,23339,Bangtan Boys | BTS,None
AO3_2020_data-13,AO3_2020_data,14,5,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,2,slash,5183,19631,Miraculous Ladybug,None
AO3_2020_data-14,AO3_2020_data,15,5,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,2,slash,5001,14073,Boku no Hero Academia | My Hero Academia,None
AO3_2020_data-15,AO3_2020_data,16,-13,Castiel x Dean Winchester,2,slash,4927,84563,Supernatural,None
