rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2023_femslash-0,AO3_2023_femslash,1,0,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,2,slash,None,19455,Supergirl (TV 2015),None
AO3_2023_femslash-1,AO3_2023_femslash,2,0,Emma Swan x Regina Mills | Evil Queen,2,slash,None,14632,Once Upon a Time (TV),None
AO3_2023_femslash-2,AO3_2023_femslash,3,0,Clarke Griffin x Lexa,2,slash,None,12568,The 100 (TV),None
AO3_2023_femslash-3,AO3_2023_femslash,4,1,Amity Blight x Luz Noceda,2,slash,None,10722,The Owl House (Cartoon),None
AO3_2023_femslash-4,AO3_2023_femslash,5,-1,Adora x Catra,2,slash,None,10525,She-Ra and the Princesses of Power (2018),None
AO3_2023_femslash-5,AO3_2023_femslash,6,0,Blake Belladonna x Xiao Long Yang,2,slash,None,6945,RWBY,None
AO3_2023_femslash-6,AO3_2023_femslash,7,0,Asami Sato x Korra,2,slash,None,6579,Avatar: Legend of Korra,None
AO3_2023_femslash-7,AO3_2023_femslash,8,15,Dorcas Meadowes x Marlene McKinnon,2,slash,None,6243,Harry Potter - J. K. Rowling,None
AO3_2023_femslash-8,AO3_2023_femslash,9,23,Nancy Wheeler x Robin Buckley,2,slash,None,6195,Stranger Things (TV 2016),None
AO3_2023_femslash-9,AO3_2023_femslash,10,-2,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,2,slash,None,6024,Supergirl (TV 2015),None
AO3_2023_femslash-10,AO3_2023_femslash,11,-1,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,2,slash,None,6023,Boku no Hero Academia | My Hero Academia,None
AO3_2023_femslash-11,AO3_2023_femslash,12,-3,Nicole Haught x Waverly Earp,2,slash,None,5853,Wynonna Earp (TV),None
AO3_2023_femslash-12,AO3_2023_femslash,13,4,Caitlyn x Vi,2,slash,None,5671,Arcane: League of Legends (Cartoon 2021),None
AO3_2023_femslash-13,AO3_2023_femslash,14,-1,Ruby Rose x Weiss Schnee,2,slash,None,5165,RWBY,None
AO3_2023_femslash-14,AO3_2023_femslash,15,-3,Kanaya Maryam x Rose Lalonde,2,slash,None,5069,Homestuck,None
AO3_2023_femslash-15,AO3_2023_femslash,16,-5,Carmilla Karnstein x Laura Hollis,2,slash,None,4960,Carmilla (Web Series),None
