slash_ship,gen_ship,members_no,fandom,rpf_or_fic,gender_combo,race_combo,member_1,member_2,member_3,member_4
Luke Hemmings x Michael Clifford,Luke Hemmings & Michael Clifford,2,5 Seconds of Summer,RPF,M / M,White,5 Seconds of Summer - Luke Hemmings,5 Seconds of Summer - Michael Clifford,None,None
Carlos Reyes x TK Strand,Carlos Reyes & TK Strand,2,9-1-1,fictional,M / M,Latin / White,9-1-1 - Carlos Reyes,9-1-1 - TK Strand,None,None
Eddie Diaz x Evan 'Buck' Buckley,Eddie Diaz & Evan 'Buck' Buckley,2,9-1-1,fictional,M / M,Latin / White,9-1-1 - Eddie Diaz,9-1-1 - Evan 'Buck' Buckley,None,None
Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,Aemond 'One-Eye' Targaryen & Lucerys 'Luke' Velaryon,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,M / M,White,A Song of Ice and Fire / Game of Thrones Universe - Aemond 'One-Eye' Targaryen,A Song of Ice and Fire / Game of Thrones Universe - Lucerys 'Luke' Velaryon,None,None
Alicent Hightower x Rhaenyra Targaryen,Alicent Hightower & Rhaenyra Targaryen,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,F / F,White,A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower,A Song of Ice and Fire / Game of Thrones Universe - Rhaenyra Targaryen,None,None
Arya Stark x Gendry Waters,Arya Stark & Gendry Waters,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,F / M,White,A Song of Ice and Fire / Game of Thrones Universe - Arya Stark,A Song of Ice and Fire / Game of Thrones Universe - Gendry Waters,None,None
Brienne of Tarth x Jaime Lannister,Brienne of Tarth & Jaime Lannister,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,F / M,White,A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth,A Song of Ice and Fire / Game of Thrones Universe - Jaime Lannister,None,None
Daemon Targaryen x Rhaenyra Targaryen,Daemon Targaryen & Rhaenyra Targaryen,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,M / F,White,A Song of Ice and Fire / Game of Thrones Universe - Daemon Targaryen,A Song of Ice and Fire / Game of Thrones Universe - Rhaenyra Targaryen,None,None
Daenerys Targaryen | Khaleesi x Jon Snow,Daenerys Targaryen | Khaleesi & Jon Snow,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,F / M,White,A Song of Ice and Fire / Game of Thrones Universe - Daenerys Targaryen | Khaleesi,A Song of Ice and Fire / Game of Thrones Universe - Jon Snow,None,None
Jon Snow x Sansa Stark,Jon Snow & Sansa Stark,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,M / F,White,A Song of Ice and Fire / Game of Thrones Universe - Jon Snow,A Song of Ice and Fire / Game of Thrones Universe - Sansa Stark,None,None
Margaery Tyrell x Sansa Stark,Margaery Tyrell & Sansa Stark,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,F / F,White,A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell,A Song of Ice and Fire / Game of Thrones Universe - Sansa Stark,None,None
Sandor Clegane | The Hound x Sansa Stark,Sandor Clegane | The Hound & Sansa Stark,2,A Song of Ice and Fire / Game of Thrones Universe,fictional,M / F,White,A Song of Ice and Fire / Game of Thrones Universe - Sandor Clegane | The Hound,A Song of Ice and Fire / Game of Thrones Universe - Sansa Stark,None,None
