#,Ship,Fandom,Type,Fics
1,"['Sherlock Holmes', 'John Watson']",Sherlock (TV),"['M', 'M']",20415
2,"['Castiel', 'Dean Winchester']",Supernatural,"['M', 'M']",15307
3,"['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),"['M', 'M']",15162
4,"['Dean Winchester', 'Sam Winchester']",Supernatural,"['M', 'M']",7959
5,"['Merlin', 'Arthur Pendragon']",Merlin (TV),"['M', 'M']",7838
6,"['Rodney McKay', 'John Sheppard']",Stargate Atlantis,"['M', 'M']",7021
7,"['Harry Styles', 'Louis Tomlinson']",One Direction (Band),"['M', 'M']",6809
8,"['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),"['M', 'M']",6681
9,"['Jim Ellison', 'Blair Sandburg']",The Sentinel,"['M', 'M']",6660
10,"['Draco Malfoy', 'Harry Potter']",Harry PotterJ. K. Rowling,"['M', 'M']",6107
11,"['Clark Kent', 'Lex Luthor']",Smallville,"['M', 'M']",5879
12,"['Blaine Anderson', 'Kurt Hummel']",Glee,"['M', 'M']",5483
13,"['Sherlock Holmes', 'John Watson']",Sherlock (TV),Gen,5072
14,"['Erik Lehnsherr', 'Charles Xavier']",X-Men: First Class (2011),"['M', 'M']",5017
15,"['Steve McGarrett', 'Danny “Danno” Williams']",Hawaii Five-0 (2010),"['M', 'M']",4989
16,"['Jensen Ackles', 'Jared Padalecki']",Supernatural RPF,"['M', 'M']",4721
17,"['Merlin', 'Arthur Pendragon (Merlin)']",Merlin (TV),"['M', 'M']",4075
18,"['Jack Harkness', 'Ianto Jones']",Torchwood,"['M', 'M']",3796
19,"['Clint Barton', 'Phil Coulson']",The Avengers (Marvel Movies),"['M', 'M']",3721
20,"['Arthur', 'Eames (Inception)']",Inception (2010),"['M', 'M']",3645
21,"['Sirius Black', 'Remus Lupin']",Harry PotterJ. K. Rowling,"['M', 'M']",3334
22,"['James T. Kirk', 'Leonard McCoy']",Star Trek: Alternate Original Series (Movies),"['M', 'M']",3140
23,"['Enjolras', 'Grantaire']",Les MisérablesAll Media Types,"['M', 'M']",3041
24,"['Clint Barton', 'Natasha Romanov']",The Avengers (Marvel Movies),"['F', 'M']",3017
25,"['James T. Kirk', 'Spock']",Star Trek: Alternate Original Series (Movies),"['M', 'M']",2995
26,"['Harry Potter', 'Severus Snape']",Harry PotterJ. K. Rowling,"['M', 'M']",2930
27,"['Loki', 'Thor']",Thor (Movies),"['M', 'M']",2921
28,"['Allison Argent', 'Scott McCall']",Teen Wolf (TV),"['F', 'M']",2855
29,"['Gabriel', 'Sam Winchester']",Supernatural,"['M', 'M']",2730
30,"['Benton Fraser', 'Ray Kowalski']",due South,"['M', 'M']",2624
31,"['Frank', 'Gerard']",My Chemical Romance,"['M', 'M']",2593
32,"['Pepper Potts', 'Tony Stark']",The Avengers (Marvel Movies),"['F', 'M']",2475
33,"['Daniel Jackson', ""Jack O'Neill""]",Stargate SG-1,"['M', 'M']",2436
34,"['Frank Iero', 'Gerard Way']",My Chemical Romance,"['M', 'M']",2414
35,"['Zayn Malik', 'Liam Payne']",One Direction (Band),"['M', 'M']",2301
36,"['Mycroft Holmes', 'Lestrade']",Sherlock (TV),"['M', 'M']",2281
37,"['Loki', 'Tony Stark']",The Avengers (Marvel Movies),"['M', 'M']",2209
38,"['John Egbert', 'Dave Strider']",Homestuck,"['M', 'M']",2200
39,"['Bilbo Baggins', 'Thorin Oakenshield']",The Hobbit (Jackson movies),"['M', 'M']",1973
40,"['The Doctor', 'River Song']",Doctor Who (2005),"['F', 'M']",1925
