Rank,Change,Pairing,Fandom,New Works,Total,Type,Race
1,2,`['Keith', 'Lance (Voltron)']`,Voltron: Legendary Defender,17280,27848,`['M', 'M']`,Amb/POC
2,3,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),15691,43515,`['M', 'M']`,White
3,-1,`['Castiel', 'Dean Winchester']`,Supernatural,13537,79650,`['M', 'M']`,White
4,3,`['Magnus Bane', 'Alec Lightwood']`,Shadowhunters (TV),11569,21224,`['M', 'M']`,Whi/POC
5,4,`['Jeon Jungkook', 'Kim Taehyung | V']`,Bangtan Boys | BTS,11309,18118,`['M', 'M']`,POC
6,11,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),10867,30700,`['M', 'M']`,White
7,-3,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,10723,33110,`['M', 'M']`,White
8,N,`['Peter Parker', 'Tony Stark']`,Marvel Cinematic Universe,10285,10639,Gen,White
9,1,`['Min Yoongi | Suga', 'Park Jimin']`,Bangtan Boys | BTS,9712,16849,`['M', 'M']`,POC
10,13,`['Keith', 'Shiro (Voltron)']`,Voltron: Legendary Defender,9202,12182,`['M', 'M']`,Amb/POC
11,82,`['Rey', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,9083,12260,`['F', 'M']`,White
12,N,`['Bakugou Katsuki', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,9022,9855,`['M', 'M']`,POC
13,-12,`['Katsuki Yuuri', 'Victor Nikiforov']`,Yuri!!! on Ice (Anime),8653,22515,`['M', 'M']`,Whi/POC
14=,N,`['Bakugou Katsuki', 'Kirishima Eijirou']`,Boku no Hero Academia | My Hero Academia,8516,9309,`['M', 'M']`,POC
14=,-6,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),8516,56021,`['M', 'M']`,White
16,N,`['Aziraphale', 'Crowley (Good Omens)']`,Good Omens - Neil Gaiman & Terry Pratchett,8475,8737,`['M', 'M']`,White
17,-1,`['Kim Namjoon | RM', 'Kim Seokjin | Jin']`,Bangtan Boys | BTS,8418,13558,`['M', 'M']`,POC
18,1,`['Jeon Jungkook', 'Park Jimin']`,Bangtan Boys | BTS,8247,13306,`['M', 'M']`,POC
19,8,`['Adrien Agreste | Chat Noir', 'Marinette Dupain-Cheng | Ladybug']`,Miraculous Ladybug,8196,14477,`['F', 'M']`,Whi/POC
20,N,`['Midoriya Izuku', 'Todoroki Shouto']`,Boku no Hero Academia | My Hero Academia,8136,9116,`['M', 'M']`,POC
21,-15,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),7230,59436,`['M', 'M']`,White
22,0,`['Jung Hoseok | J-Hope', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,6561,10433,`['M', 'M']`,POC
23,N,`['Pepper Potts', 'Tony Stark']`,The Avengers (Marvel Movies),6144,13847,`['F', 'M']`,White
24,-11,`['Kara Danvers', 'Lena Luthor']`,Supergirl (TV 2015),5677,9459,`['F', 'F']`,White
