Rank   Change   Relationship   Fandom   New Works   Total   Type   Race   
1   N   Clay | Dream/GeorgeNotFound (Video Blogging RPF)   Video Blogging RPF   13472   13780   M/M   White   White
2   14   Castiel/Dean Winchester   Supernatural   12086   96616   M/M   White   White
3   -1   Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn   魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù   10848   23825   M/M   Asian   Asian
4   2   Draco Malfoy/Harry Potter   Harry Potter - J. K. Rowling   9069   49245   M/M   White   White
5   2   Bakugou Katsuki/Midoriya Izuku   Boku no Hero Academia | My Hero Academia   8567   25351   M/M   Asian   Asian
6   -5   Aziraphale/Crowley (Good Omens)   Good Omens (TV)   8410   36546   M/M   White   White
7   3   Bakugou Katsuki/Kirishima Eijirou   Boku no Hero Academia | My Hero Academia   7324   22607   M/M   Asian   Asian
8   23   Sirius Black/Remus Lupin   Harry Potter - J. K. Rowling   7231   24891   M/M   White   White
9   N   Wilbur Soot & Technoblade & TommyInnit & Phil Watson   Video Blogging RPF   6910   6910   Gen   White   White
10   N   Toby Smith | Tubbo & TommyInnit   Video Blogging RPF   6870   6870   Gen   White   White
11   -6   Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion   Wiedźmin | The Witcher - All Media Types   6401   13917   M/M   White   White
12   N   Wilbur Soot & TommyInnit   Video Blogging RPF   6247   6247   Gen   White   White
13   1   Adrien Agreste | Chat Noir/Marinette Dupain-Cheng | Ladybug   Miraculous Ladybug   6103   25668   F/M   White   Asian
14   -5   James "Bucky" Barnes/Steve Rogers   Captain America (Movies)   5643   55252   M/M   White   White
15   25   Akaashi Keiji/Bokuto Koutarou   Haikyuu!!   5379   12789   M/M   Asian   Asian
16   6   Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic   Boku no Hero Academia | My Hero Academia   5334   12591   M/M   Asian   Asian
17   28   Iwaizumi Hajime/Oikawa Tooru   Haikyuu!!   5324   16455   M/M   Asian   Asian
18   N   Miya Atsumu/Sakusa Kiyoomi   Haikyuu!!   5277   6001   M/M   Asian   Asian
19   -6   Jeon Jungkook/Kim Taehyung | V   Bangtan Boys | BTS   5201   28479   M/M   Asian   Asian
20   33   James Potter/Lily Evans Potter   Harry Potter - J. K. Rowling   5057   15164   F/M   White   White
21   N   Joe | Yusuf Al-Kaysani/Nicky | Nicolò di Genova   The Old Guard (Movie 2020)   4922   5557   M/M   M.E.   White
22   -14   Peter Parker & Tony Stark   Marvel Cinematic Universe   4829   22164   Gen   White   White
23   -8   Midoriya Izuku/Todoroki Shouto   Boku no Hero Academia | My Hero Academia   4787   18807   M/M   Asian   Asian
24   12   Hermione Granger/Draco Malfoy   Harry Potter - J. K. Rowling   4678   14834   F/M   Ambig   White
25   -22   Rey/Ben Solo | Kylo Ren   Star Wars Sequel Trilogy   4659   25865   F/M   White   White
26   9   Hinata Shouyou/Kageyama Tobio   Haikyuu!!   4655   15073   M/M   Asian   Asian
27   -9   Evan "Buck" Buckley/Eddie Diaz (9-1-1 TV)   9-1-1 (TV)   4642   8345   M/M   White   Latino
28   -11   Jeon Jungkook/Park Jimin   Bangtan Boys | BTS   4564   22400   M/M   Asian   Asian
29   N   Technoblade & TommyInnit (Video Blogging RPF)   Video Blogging RPF   4482   4482   Gen   White   White
30   3   Bakugou Katsuki & Midoriya Izuku   Boku no Hero Academia | My Hero Academia   4391   9370   Gen   Asian   Asian
31   -20   Steve Rogers/Tony Stark   The Avengers (Marvel Movies)   4285   40510   M/M   White   White
32   24   Will Graham/Hannibal Lecter   Hannibal (TV)   4226   21446   M/M   White   White
33   N   Tartaglia | Childe/Zhongli (Genshin Impact)   原神 | Genshin Impact (Video Game)   4125   4125   M/M   White   Asian
34   -7   Merlin/Arthur Pendragon (Merlin)   Merlin (TV)   3907   22575   M/M   White   White
35   -11   Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)   文豪ストレイドッグス | Bungou Stray Dogs   3887   12626   M/M   Asian   Asian
36   N   Amity Blight/Luz Noceda   The Owl House (Cartoon)   3797   3797   F/F   White   Af Lat
37   N   Ranboo & Toby Smith | Tubbo   Video Blogging RPF   3711   3711   Gen   White   White
38   -6   Martin Blackwood/Jonathan "Jon" Sims | The Archivist   The Magnus Archives (Podcast)   3541   6889   M/M   Ambig   Ambig
39   -16   Adora/Catra (She-Ra)   She-Ra and the Princesses of Power (2018)   3478   8347   F/F   White   Ambig
40   N   James "Bucky" Barnes/Sam Wilson   Marvel Cinematic Universe   3447   6477   M/M   White   Black
41   43   Kozume Kenma/Kuroo Tetsurou   Haikyuu!!   3384   8290   M/M   Asian   Asian
42   -16   Derek Hale/Stiles Stilinski   Teen Wolf (TV)   3365   62648   M/M   White   White
43   -23   Magnus Bane/Alec Lightwood   Shadowhunters (TV)   3327   28086   M/M   Asian   White
