Rank   Change   Relationship   Fandom   Works   Race   
1   0   Kara Danvers/Lena Luthor   Supergirl (TV 2015)   16227   White   White
2   0   Evil Queen | Regina Mills/Emma Swan   Once Upon a Time (TV)   13451   Latino   White
3   0   Clarke Griffin/Lexa   The 100 (TV)   12450   White   White
4   2   Adora/Catra (She-Ra)   She-Ra and the Princesses of Power (2018)   8347   White   Ambig
5   -1   Alex Danvers/Maggie Sawyer   Supergirl (TV 2015)   6023   White   Latino
6   2   Korra/Asami Sato   Avatar: Legend of Korra   5862   Indig   Asian
7   3   Blake Belladonna/Yang Xiao Long   RWBY   5836   Asian   Asian
8   0   Waverly Earp/Nicole Haught   Wynonna Earp (TV)   5469   White   White
9   -4   Laura Hollis/Carmilla Karnstein   Carmilla (Web Series)   5106   White   White
10   -3   Rose Lalonde/Kanaya Maryam   Homestuck   4874   Ambig   N.H.
11   3   Jirou Kyouka/Yaoyorozu Momo   Boku no Hero Academia | My Hero Academia   4672   Asian   Asian
12   0   Chloe Beale/Beca Mitchell   Pitch Perfect (Movies)   4181   White   White
13   -2   Alphys/Undyne (Undertale)   Undertale (Video Game)   4060   N.H.   N.H.
14   -1   Ruby Rose/Weiss Schnee   RWBY   4036   Asian   White
15   N   Amity Blight/Luz Noceda   The Owl House (Cartoon)   3797   White   Af Lat
16   1   Krista Lenz | Historia Reiss/Ymir   Shingeki no Kyojin | Attack on Titan   3718   White   White
17   -2   Root | Samantha Groves/Sameen Shaw   Person of Interest (TV)   3163   White   M.E.
18   -2   Kara Danvers/Cat Grant   Supergirl (TV 2015)   3154   White   White
19   -1   Santana Lopez/Brittany S. Pierce   Glee   3075   Af Lat   White
20   6   Asui Tsuyu/Uraraka Ochako   Boku no Hero Academia | My Hero Academia   2749   Asian   Asian
21   8   Luna Lovegood/Ginny Weasley   Harry Potter - J. K. Rowling   2673   White   White
22   -2   Serena Campbell/Bernie Wolfe   Holby City   2664   White   White
