Rank 	Change 	Relationship 	Fandom 	Works 	Race
1 	+0 	Kara Danvers/Lena Luthor 	Supergirl (TV 2015) 	20322 	White 	White
2 	+0 	Evil Queen | Regina Mills/Emma Swan 	Once Upon a Time (TV) 	14808 	Latino 	White
3 	+1 	Amity Blight/Luz Noceda 	The Owl House (Cartoon) 	12404 	White 	Af Lat
4 	-1 	Clarke Griffin/Lexa 	The 100 (TV) 	12179 	White 	White
5 	+0 	Adora/Catra (She-Ra) 	She-Ra and the Princesses of Power (2018) 	11366 	White 	Latino
6 	+2 	Marlene McKinnon/Dorcas Meadowes 	Harry Potter - J. K. Rowling 	8647 	White 	Black
7 	+2 	Robin Buckley/Nancy Wheeler 	Stranger Things (TV 2016) 	8306 	White 	White
8 	-2 	Blake Belladonna/Yang Xiao Long 	RWBY 	7586 	Asian 	Asian
9 	-2 	Korra/Asami Sato 	Avatar: Legend of Korra 	7125 	Indig 	Asian
10 	+3 	Caitlyn/Vi (League of Legends) 	Arcane: League of Legends (Cartoon 2021) 	6622 	Asian 	White
11 	+0 	Jirou Kyouka/Yaoyorozu Momo 	Boku no Hero Academia | My Hero Academia 	6403 	Asian 	Asian
12 	+5 	Wednesday Addams/Enid Sinclair 	Wednesday (TV 2022) 	6329 	Latino 	White
13 	-3 	Alex Danvers/Maggie Sawyer 	Supergirl (TV 2015) 	6042 	White 	Latino
14 	+51 	Charlie Magne | Morningstar/Vaggie 	Hazbin Hotel (Cartoon) 	6017 	N.H. 	N.H.
15 	-3 	Waverly Earp/Nicole Haught 	Wynonna Earp (TV) 	5833 	White 	White
16 	-2 	Ruby Rose/Weiss Schnee 	RWBY 	5733 	Asian 	White
17 	-2 	Rose Lalonde/Kanaya Maryam 	Homestuck 	5205 	Ambig 	N.H.
18 	-2 	Laura Hollis/Carmilla Karnstein 	Carmilla (Web Series) 	4878 	White 	White
19 	-1 	Chloe Beale/Beca Mitchell 	Pitch Perfect (Movies) 	4859 	White 	White
20 	-1 	Alphys/Undyne (Undertale) 	Undertale (Video Game) 	4578 	N.H. 	N.H.
