Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,2366,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
2,,Kanaya Maryam x Rose Lalonde,Homestuck,1839,,Homestuck - Kanaya Maryam x Rose Lalonde
3,,Brittany S. Pierce x Santana Lopez,Glee,1613,,Glee - Brittany S. Pierce x Santana Lopez
4,,Quinn Fabray x Rachel Berry,Glee,1251,,Glee - Quinn Fabray x Rachel Berry
5,,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,945,,Warehouse 13 - Helena 'H. G.' Wells x Myka Bering
6,,Allison Argent x Lydia Martin,Teen Wolf,787,,Teen Wolf - Allison Argent x Lydia Martin
7,,Jane Rizzoli x Maura Isles,Rizzoli & Isles,647,,Rizzoli & Isles - Jane Rizzoli x Maura Isles
8,,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,638,,Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz x Ymir of the 104th
9,,Tara Maclay x Willow Rosenberg,Buffy Universe,534,,Buffy Universe - Tara Maclay x Willow Rosenberg
10,,Guinevere 'Gwen' Pendragon x Morgana,Merlin,517,,Merlin - Guinevere 'Gwen' Pendragon x Morgana
11,,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Marvel,494,,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue
12,,Beca Mitchell x Chloe Beale,Pitch Perfect,474,,Pitch Perfect - Beca Mitchell x Chloe Beale
13,,Buffy Summers x Faith Lehane,Buffy Universe,428,,Buffy Universe - Buffy Summers x Faith Lehane
14,,Anna x Elsa,Frozen,416,,Frozen - Anna x Elsa
15,,Terezi Pyrope x Vriska Serket,Homestuck,398,,Homestuck - Terezi Pyrope x Vriska Serket
16,,Cara Mason x Kahlan Amnell,Legend of the Seeker,392,,Legend of the Seeker - Cara Mason x Kahlan Amnell
17,,Quinn Fabray x Santana Lopez,Glee,385,,Glee - Quinn Fabray x Santana Lopez
18,,Jane Crocker x Roxy Lalonde,Homestuck,348,,Homestuck - Jane Crocker x Roxy Lalonde
19,,Cosima Niehaus x Delphine Cormier,Orphan Black,347,,Orphan Black - Cosima Niehaus x Delphine Cormier
20,,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,346,,The Devil Wears Prada - Andrea Sachs x Miranda Priestly
21,,Rachel Berry x Santana Lopez,Glee,340,,Glee - Rachel Berry x Santana Lopez
22,,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,315,,Attack on Titan | 進撃の巨人 - Annie Leonhart x Mikasa Ackerman
23,,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,309,,Mass Effect - Liara T'Soni x Shepard (Female) | Player Character
24,,Kanaya Maryam x Vriska Serket,Homestuck,308,,Homestuck - Kanaya Maryam x Vriska Serket
25,,Daisy Johnson | Skye x Jemma Simmons,Marvel,299,,Marvel - Daisy Johnson | Skye x Jemma Simmons
25,,Cosette Fauchelevent x Éponine Thénardier,Les Misérables,299,,Les Misérables - Cosette Fauchelevent x Éponine Thénardier
27,,Bo x Lauren Lewis,Lost Girl,298,,Lost Girl - Bo x Lauren Lewis
28,,Janet Fraiser x Sam Carter,Stargate,276,,Stargate - Janet Fraiser x Sam Carter
29,,Arizona Robbins x Calliope 'Callie' Torres,Grey's Anatomy Universe,243,,Grey's Anatomy Universe - Arizona Robbins x Calliope 'Callie' Torres
30,,Alicia Florrick x Kalinda Sharma,The Good Wife,230,,The Good Wife - Alicia Florrick x Kalinda Sharma
31,,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,224,,A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell x Sansa Stark
32,,Ali Krieger x Ashlyn Harris,Women's Soccer,223,,Women's Soccer - Ali Krieger x Ashlyn Harris
33,,Gabrielle x Xena,Xena,218,,Xena - Gabrielle x Xena
34,,Jade Harley x Rose Lalonde,Homestuck,204,,Homestuck - Jade Harley x Rose Lalonde
35,,Hawke (Female) | Player Character x Isabela,Dragon Age,201,,Dragon Age - Hawke (Female) | Player Character x Isabela
36,,Irene Adler x Molly Hooper,Sherlock,196,,Sherlock - Irene Adler x Molly Hooper
37,,Marceline x Princess Bubblegum,Adventure Time,193,,Adventure Time - Marceline x Princess Bubblegum
38,,Alex Morgan x Tobin Heath,Women's Soccer,191,,Women's Soccer - Alex Morgan x Tobin Heath
39,,Aurora x Mulan,Once Upon a Time,185,,Once Upon a Time - Aurora x Mulan
40,,Ginny Weasley x Luna Lovegood,Harry Potter Universe,184,,Harry Potter Universe - Ginny Weasley x Luna Lovegood
41,,Asami Sato x Korra,Avatar: The last Airbender Universe,178,,Avatar: The last Airbender Universe - Asami Sato x Korra
42,,Belle x Ruby | Red Riding Hood,Once Upon a Time,176,,Once Upon a Time - Belle x Ruby | Red Riding Hood
43,,Ginny Weasley x Hermione Granger,Harry Potter Universe,175,,Harry Potter Universe - Ginny Weasley x Hermione Granger
44,,Buffy Summers x Willow Rosenberg,Buffy Universe,165,,Buffy Universe - Buffy Summers x Willow Rosenberg
45,,Anna Milton x Ruby,Supernatural,160,,Supernatural - Anna Milton x Ruby
46,,Jenny Flint x Madame Vastra,Doctor Who Universe,153,,Doctor Who Universe - Jenny Flint x Madame Vastra
47,,Cora Hale x Lydia Martin,Teen Wolf,152,,Teen Wolf - Cora Hale x Lydia Martin
48,,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,152,,Marvel - Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow
48,,Akemi Homura x Kaname Madoka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,152,,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Akemi Homura x Kaname Madoka
50,,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,151,,Criminal Minds - Emily Prentiss x Jennifer 'JJ' Jareau
