Rank,Change,Relationship,Fandom,Total Works,New Works
2,-1,Castiel x Dean Winchester,Supernatural,66148,9785
3,New,Keith x Lance,Voltron,10613,9646
4,9,Draco Malfoy x Harry Potter,Harry Potter Universe,22402,7226
5,-3,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,27853,6227
6,-2,John Watson x Sherlock Holmes,Sherlock,52232,6202
7,7,Alec Lightwood x Magnus Bane,Mortal Instruments,9734,5392
8,-5,Derek Hale x Stiles Stilinski,Teen Wolf,47528,4997
9,20,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,6832,4356
10,11,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,7150,4070
11,New,Otabek Altin x Yuri Plisetsky,Yuri!!! on ICE | ユーリ!!! on ICE,3852,3852
12,-3,Dean Winchester x Sam Winchester,Supernatural,22797,3825
13,New,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,3793,3793
14,New,Katsuki Yuuri & Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,3782,3782
15,-5,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,9938,3520
16,40,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,5152,3490
17,-9,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,19859,3452
18,-11,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,8022,3421
19,30,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,5077,3193
20,New,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,3018,3018
21,-10,Hannibal Lecter x Will Graham,Hannibal,11262,2776
22,75,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,3887,2740
23,New,Keith x Shiro,Voltron,3018,2722
24,3,Josh Dun x Tyler Joseph,Twenty One Pilots,5886,2716
25,New,Jesse McCree | McCree x Shimada Hanzo,Overwatch,3161,2692
26,-11,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,6964,2686
27,-15,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,6307,2602
27,15,Alexander Hamilton x John Laurens,Hamilton,4409,2602
29,-23,Clarke Griffin x Lexa,The 100,8535,2490
30,New,Gabriel Reyes | Reaper x Jack Morrison | Soldier: 76,Overwatch,2694,2300
31,New,Even Bech Næsheim x Isak Valtersen,SKAM,2236,2236
32,New,Cassian Andor x Jyn Erso,Star Wars Universe,2138,2138
33,-9,Remus Lupin x Sirius Black,Harry Potter Universe,10137,2132
34,New,Harry Potter x Severus Snape,Harry Potter Universe,8818,2070
35,New,Alexander Hamilton x Elizabeth 'Eliza' Schuyler,Hamilton,2010,2010
36,New,Allura x Shiro,Voltron,2133,2009
