Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,9071,
2,0,Clarke Griffin x Lexa,The 100,8535,
3,0,Carmilla Karnstein x Laura Hollis,Carmilla,4729,
4,New,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,3793,
5,-1,Kanaya Maryam x Rose Lalonde,Homestuck,3583,
6,-1,Asami Sato x Korra,Avatar: The last Airbender Universe,3148,
7,New,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,3018,
8,4,Alphys x Undyne,Undertale,2473,
9,-1,Samantha Groves | Root x Sameen Shaw,Person of Interest,2394,
10,-3,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,2359,
11,-5,Brittany S. Pierce x Santana Lopez,Glee,2218,
12,5,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,2106,
13,-3,Angie Martinelli x Peggy Carter,Marvel,1895,
14,-5,Quinn Fabray x Rachel Berry,Glee,1839,
15,-4,Allison Argent x Lydia Martin,Teen Wolf,1700,
16,-3,Beca Mitchell x Chloe Beale,Pitch Perfect,1630,
17,-1,Cosima Niehaus x Delphine Cormier,Orphan Black,1445,
18,78,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,1387,
19,-5,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1384,
20,-5,Daisy Johnson | Skye x Jemma Simmons,Marvel,1335,
21,-1,Blake Belladonna x Xiao Long Yang,RWBY,1304,
22,0,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,1201,
23,19,Nicole Haught x Waverly Earp,Wynonna Earp,1169,
24,New,Erin Gilbert x Jillian Holtzmann,Ghostbusters,1164,
25,7,Ruby Rose x Weiss Schnee,RWBY,1101,
26,-8,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,1100,
27,New,Bernie Wolfe x Serena Campbell,Holby City,1091,
28,-9,Jane Rizzoli x Maura Isles,Rizzoli & Isles,1059,
29,23,Lapis Lazuli x Peridot,Steven Universe,980,
30,-9,Anna x Elsa,Frozen,976,
31,-8,Tara Maclay x Willow Rosenberg,Buffy Universe,934,
32,-6,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,909,
33,-5,Ali Krieger x Ashlyn Harris,Women's Soccer,870,
