Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,New,Clay | Dream x George Davidson | GeorgeNotFound,Youtube,13780,13472,Youtube - Clay | Dream x George Davidson | GeorgeNotFound
2,14,Castiel x Dean Winchester,Supernatural,96616,12086,Supernatural - Castiel x Dean Winchester
3,-1,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,23825,10848,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian
4,2,Draco Malfoy x Harry Potter,Harry Potter Universe,49245,9069,Harry Potter Universe - Draco Malfoy x Harry Potter
5,2,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,25351,8567,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Midoriya Izuku | Deku
6,-5,Anthony J. Crowley x Aziraphale,Good Omens,36546,8410,Good Omens - Anthony J. Crowley x Aziraphale
7,3,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,22607,7324,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Kirishima Eijirou | Red Riot
8,23,Remus Lupin x Sirius Black,Harry Potter Universe,24891,7231,Harry Potter Universe - Remus Lupin x Sirius Black
9,New,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,6910,6910,Youtube - Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot
10,New,Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,6870,6870,Youtube - Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo
11,-6,Geralt of Rivia | The Witcher x Jaskier | Dandelion,The Witcher | Wiedźmin,13917,6401,The Witcher | Wiedźmin - Geralt of Rivia | The Witcher x Jaskier | Dandelion
12,New,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,6247,6247,Youtube - Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot
13,1,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,25668,6103,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
14,-5,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,55252,5643,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
15,25,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,12789,5379,Haikyuu!! | ハイキュー!! - Akaashi Keiji x Bokuto Koutarou
16,6,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,12591,5334,My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic
