Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Castiel x Dean Winchester,Supernatural,96616,,Supernatural - Castiel x Dean Winchester
2,0,John Watson x Sherlock Holmes,Sherlock,64408,,Sherlock - John Watson x Sherlock Holmes
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,62648,,Teen Wolf - Derek Hale x Stiles Stilinski
4,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,55252,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
5,0,Draco Malfoy x Harry Potter,Harry Potter Universe,49245,,Harry Potter Universe - Draco Malfoy x Harry Potter
6,0,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,40510,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
7,2,Anthony J. Crowley x Aziraphale,Good Omens,36546,,Good Omens - Anthony J. Crowley x Aziraphale
8,-1,Harry Styles x Louis Tomlinson,One Direction,35365,,One Direction - Harry Styles x Louis Tomlinson
9,-1,Keith x Lance,Voltron,31707,,Voltron - Keith x Lance
10,0,Dean Winchester x Sam Winchester,Supernatural,29526,,Supernatural - Dean Winchester x Sam Winchester
11,2,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,28479,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
12,-1,Alec Lightwood x Magnus Bane,Mortal Instruments,28086,,Mortal Instruments - Alec Lightwood x Magnus Bane
13,1,Ben Solo | Kylo Ren x Rey,Star Wars Universe,25865,,Star Wars Universe - Ben Solo | Kylo Ren x Rey
14,2,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,25668,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
15,-3,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,25647,,Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri x Victor Nikiforov
16,9,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,25351,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Midoriya Izuku | Deku
17,2,Remus Lupin x Sirius Black,Harry Potter Universe,24891,,Harry Potter Universe - Remus Lupin x Sirius Black
18,17,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,23826,,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian
19,9,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,22606,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Kirishima Eijirou | Red Riot
20,-3,Arthur Pendragon x Merlin,Merlin,22577,,Merlin - Arthur Pendragon x Merlin
