index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation
5 Seconds of Summer - Luke Hemmings,Luke Hemmings,5 Seconds of Summer,2016,2016,1,M,White,str8
5 Seconds of Summer - Michael Clifford,Michael Clifford,5 Seconds of Summer,2016,2016,1,M,White,str8
9-1-1 - Carlos Reyes,Carlos Reyes,9-1-1,2021,2023,3,M,Latin,bi
9-1-1 - Eddie Diaz,Eddie Diaz,9-1-1,2020,2024,5,M,Latin,str8
9-1-1 - Evan 'Buck' Buckley,Evan 'Buck' Buckley,9-1-1,2020,2024,5,M,White,bi
9-1-1 - TK Strand,TK Strand,9-1-1,2021,2023,3,M,White,gay
9-1-1 - Thomas 'Tommy' Kinard,Thomas 'Tommy' Kinard,9-1-1,2024,2024,1,M,White,gay
A Song of Ice and Fire / Game of Thrones Universe - Aemond 'One-Eye' Targaryen,Aemond 'One-Eye' Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,M,White,unspecified
A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower,Alicent Hightower,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,F,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Arya Stark,Arya Stark,A Song of Ice and Fire / Game of Thrones Universe,2019,2019,1,F,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth,Brienne of Tarth,A Song of Ice and Fire / Game of Thrones Universe,2019,2021,3,F,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Daemon Targaryen,Daemon Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,M,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Daenerys Targaryen | Khaleesi,Daenerys Targaryen | Khaleesi,A Song of Ice and Fire / Game of Thrones Universe,2019,2019,1,F,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Gendry Waters,Gendry Waters,A Song of Ice and Fire / Game of Thrones Universe,2019,2019,1,M,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Jaime Lannister,Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,2019,2021,3,M,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Jon Snow,Jon Snow,A Song of Ice and Fire / Game of Thrones Universe,2017,2020,3,M,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Lucerys 'Luke' Velaryon,Lucerys 'Luke' Velaryon,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,M,White,unspecified
A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell,Margaery Tyrell,A Song of Ice and Fire / Game of Thrones Universe,2014,2024,10,F,White,str8
A Song of Ice and Fire / Game of Thrones Universe - Rhaenyra Targaryen,Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,F,White,bi
A Song of Ice and Fire / Game of Thrones Universe - Sansa Stark,Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,2014,2024,10,F,White,str8
ATEEZ - Choi San | San,Choi San | San,ATEEZ,2024,2024,1,M,E Asian,unspecified
ATEEZ - Jung Wooyoung | Wooyoung,Jung Wooyoung | Wooyoung,ATEEZ,2024,2024,1,M,E Asian,unspecified
ATEEZ - Kim Hongjoong | Hongjoong,Kim Hongjoong | Hongjoong,ATEEZ,2024,2024,1,M,E Asian,unspecified
ATEEZ - Park Seonghwa | Seonghwa,Park Seonghwa | Seonghwa,ATEEZ,2024,2024,1,M,E Asian,unspecified
Ace Attourney | 逆転裁判 - Mitsurugi Reiji / Miles Edgeworth,Mitsurugi Reiji / Miles Edgeworth,Ace Attourney | 逆転裁判,2024,2024,1,M,E Asian,unspecified
Ace Attourney | 逆転裁判 - Naruhodou Ryuuichi / Phoenix Wright,Naruhodou Ryuuichi / Phoenix Wright,Ace Attourney | 逆転裁判,2024,2024,1,M,E Asian,str8
Adam Lambert - Adam Lambert,Adam Lambert,Adam Lambert,2013,2015,3,M,White,gay
Adam Lambert - Kris Allen,Kris Allen,Adam Lambert,2013,2014,2,M,White,str8
Adam Lambert - Tommy Ratliff,Tommy Ratliff,Adam Lambert,2013,2015,3,M,White,unspecified
Addam's Family Universe - Enid Sinclair,Enid Sinclair,Addam's Family Universe,2023,2024,2,F,White,str8
Addam's Family Universe - Wednesday Addams,Wednesday Addams,Addam's Family Universe,2023,2024,2,F,Latin,str8
Adventure Time - Marceline,Marceline,Adventure Time,2014,2024,10,F,N.H.,bi
Adventure Time - Princess Bubblegum,Princess Bubblegum,Adventure Time,2014,2024,10,F,N.H.,bi
Aespa / æspa - Kim Minjeong | Winter,Kim Minjeong | Winter,Aespa / æspa,2024,2024,1,F,E Asian,unspecified
Aespa / æspa - Yu Jimin | Karina,Yu Jimin | Karina,Aespa / æspa,2024,2024,1,F,E Asian,str8
Alien Stage - Ivan,Ivan,Alien Stage,2024,2024,1,M,Ambig,gay
Alien Stage - Till,Till,Alien Stage,2024,2024,1,M,Ambig,str8
All For The Game - Andrew Minyard,Andrew Minyard,All For The Game,2020,2024,4,M,White,gay
All For The Game - Neil Josten,Neil Josten,All For The Game,2020,2024,4,M,White,gay
American Horror Story - Cordelia Foxx/Goode | The Supreme,Cordelia Foxx/Goode | The Supreme,American Horror Story,2019,2021,3,F,White,str8
American Horror Story - Misty Day,Misty Day,American Horror Story,2019,2021,3,F,White,unspecified
Amphibia - Anne Boonchuy,Anne Boonchuy,Amphibia,2022,2024,3,F,SE Asian,unspecified
Amphibia - Marcy Wu,Marcy Wu,Amphibia,2022,2024,3,F,E Asian,unspecified
Amphibia - Sasha Waybright,Sasha Waybright,Amphibia,2022,2024,3,F,White,unspecified
Arcane - Caitlyn,Caitlyn,Arcane,2022,2024,3,F,Asian (Multi),gay
Arcane - Jayce,Jayce,Arcane,2022,2022,1,M,Ambig,str8
Arcane - Vi,Vi,Arcane,2022,2024,3,F,White,gay
Arcane - Viktor,Viktor,Arcane,2022,2022,1,M,White,unspecified
Archie Comics Universe - Betty Cooper,Betty Cooper,Archie Comics Universe,2017,2021,4,F,White,str8
Archie Comics Universe - Cheryl Blossom,Cheryl Blossom,Archie Comics Universe,2019,2024,6,F,White,gay
Archie Comics Universe - Jughead Jones,Jughead Jones,Archie Comics Universe,2017,2019,2,M,White,str8
Archie Comics Universe - Mary Wardwell | Madam Satan / Lilith,Mary Wardwell | Madam Satan / Lilith,Archie Comics Universe,2021,2021,1,F,White,str8
Archie Comics Universe - Toni Topaz,Toni Topaz,Archie Comics Universe,2019,2024,6,F,Black (Multi),gay
Archie Comics Universe - Veronica Lodge,Veronica Lodge,Archie Comics Universe,2017,2021,4,F,Latin,str8
Archie Comics Universe - Zelda Spellman,Zelda Spellman,Archie Comics Universe,2021,2021,1,F,White,str8
Attack on Titan | 進撃の巨人 - Annie Leonhart,Annie Leonhart,Attack on Titan | 進撃の巨人,2014,2024,10,F,White,str8
Attack on Titan | 進撃の巨人 - Eren Yeager,Eren Yeager,Attack on Titan | 進撃の巨人,2014,2024,10,M,White,unspecified
Attack on Titan | 進撃の巨人 - Erwin Smith,Erwin Smith,Attack on Titan | 進撃の巨人,2014,2024,8,M,White,unspecified
Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz,Historia Reiss | Krista Lenz,Attack on Titan | 進撃の巨人,2014,2024,10,F,White,unspecified
Attack on Titan | 進撃の巨人 - Jean Kirstein,Jean Kirstein,Attack on Titan | 進撃の巨人,2014,2019,5,M,White,str8
Attack on Titan | 進撃の巨人 - Levi Ackerman,Levi Ackerman,Attack on Titan | 進撃の巨人,2014,2024,10,M,White,unspecified
Attack on Titan | 進撃の巨人 - Marco Bott,Marco Bott,Attack on Titan | 進撃の巨人,2014,2019,5,M,White,unspecified
Attack on Titan | 進撃の巨人 - Mikasa Ackerman,Mikasa Ackerman,Attack on Titan | 進撃の巨人,2014,2024,10,F,E Asian (Multi),unspecified
Attack on Titan | 進撃の巨人 - Ymir of the 104th,Ymir of the 104th,Attack on Titan | 進撃の巨人,2014,2024,10,F,White,gay
Avatar: The last Airbender Universe - Asami Sato,Asami Sato,Avatar: The last Airbender Universe,2014,2024,10,F,E Asian,bi
Avatar: The last Airbender Universe - Azula,Azula,Avatar: The last Airbender Universe,2021,2024,4,F,E Asian,str8
Avatar: The last Airbender Universe - Katara,Katara,Avatar: The last Airbender Universe,2021,2021,1,F,As Ind,str8
Avatar: The last Airbender Universe - Korra,Korra,Avatar: The last Airbender Universe,2014,2024,10,F,As Ind,bi
Avatar: The last Airbender Universe - Kya II,Kya II,Avatar: The last Airbender Universe,2021,2024,4,F,As Ind / S Asian (Multi),gay
Avatar: The last Airbender Universe - Lin Beifong,Lin Beifong,Avatar: The last Airbender Universe,2021,2024,4,F,E Asian,str8
Avatar: The last Airbender Universe - Sokka,Sokka,Avatar: The last Airbender Universe,2020,2021,2,M,As Ind,str8
Avatar: The last Airbender Universe - Ty Lee,Ty Lee,Avatar: The last Airbender Universe,2021,2024,4,F,E Asian,str8
Avatar: The last Airbender Universe - Zuko,Zuko,Avatar: The last Airbender Universe,2020,2021,2,M,E Asian,str8
BLUELOCK | ブルーロック - Mikage Reo,Mikage Reo,BLUELOCK | ブルーロック,2023,2024,2,M,E Asian,unspecified
BLUELOCK | ブルーロック - Nagi Seishirou,Nagi Seishirou,BLUELOCK | ブルーロック,2023,2024,2,M,E Asian,unspecified
