fandom,rpf,year_joined,latest_year,total_years,country_of_origin,continent,language
5 Seconds of Summer,True,2016,2016,1,Australia,Oceania,English
9-1-1,False,2020,2024,5,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe,False,2014,2024,10,USA,North America,English
ATEEZ,True,2024,2024,1,South Korea,Asia,Korean
Ace Attourney | 逆転裁判,False,2024,2024,1,Japan,Asia,Japanese
Adam Lambert,True,2013,2015,3,USA,North America,English
Addam's Family Universe,False,2023,2024,2,USA,North America,English
Adventure Time,False,2014,2024,10,USA,North America,English
Aespa / æspa,True,2024,2024,1,South Korea,Asia,Korean
Alien Stage,False,2024,2024,1,South Korea,Asia,Korean
All For The Game,False,2020,2024,4,Unknown,Unknown,English
American Horror Story,False,2019,2021,3,USA,North America,English
Amphibia,False,2022,2024,3,USA,North America,English
Arcane,False,2022,2024,3,France / USA,Europe / North America,English
Archie Comics Universe,False,2017,2024,7,USA,North America,English
Attack on Titan | 進撃の巨人,False,2014,2024,10,Japan,Asia,Japanese
Avatar: The last Airbender Universe,False,2014,2024,10,USA,North America,English
BLUELOCK | ブルーロック,False,2023,2024,2,Japan,Asia,Japanese
Baldur's Gate,False,2024,2024,1,Belgium / Canada / USA,Europe / North America,English
Bangtan Boys / BTS,True,2016,2024,8,South Korea,Asia,Korean
Be More Chill,False,2017,2019,2,USA,North America,English
Bridgerton,False,2022,2024,2,USA,North America,English
Buffy Universe,False,2013,2024,11,USA,North America,English
Bungou Stray Dogs | 文豪ストレイドッグス,False,2017,2024,7,Japan,Asia,Japanese
Call of Duty,False,2023,2024,2,USA,North America,English
Carmilla,False,2015,2024,9,Canada,North America,English
Carol,False,2017,2024,7,UK / USA,Europe / North America,English
Carry On,False,2020,2020,1,USA,North America,English
Check Please!,False,2016,2017,2,USA,North America,English
Criminal Minds,False,2014,2024,10,USA,North America,English
Critical Role,False,2019,2024,6,USA,North America,English
DC,False,2013,2024,11,USA,North America,English
Danganronpa,False,2021,2021,1,Japan,Asia,Japanese
Descendants,False,2019,2021,3,USA,North America,English
Detroit: Become Human,False,2019,2020,2,France / USA,Europe / North America,English
Doctor Who Universe,False,2013,2024,11,UK,Europe,English
Drag,True,2019,2021,3,USA,North America,English
Dragon Age,False,2014,2021,7,Canada,North America,English
Due South,False,2013,2017,5,Canada,North America,English
EXO,True,2017,2022,5,South Korea,Asia,Korean
Emmerdale,False,2016,2020,4,UK,Europe,English
Faking It,False,2015,2016,2,USA,North America,English
Fall Out Boy,True,2013,2019,6,USA,North America,English
Faraway Wanderers / Word of Honor | 天涯客 / 山河令,False,2021,2022,2,China,Asia,Chinese
Fifth Harmony,True,2015,2019,4,USA,North America,English
Figure Skating,True,2022,2022,1,China / Japan,Asia,English
Final Fantasy | ファイナルファンタジー,False,2015,2019,3,Japan,Asia,Japanese
Fire Emblem | ファイアーエムブレム,False,2020,2020,1,Japan,Asia,Japanese
