index,ship_name,fandom,rpf,gender_combo,race_combo,orientation_combo,gen_ship,canon,canon_alignment,incest,country_of_origin,language,member_no,member_1,member_2,member_3,member_4
5 Seconds of Summer - Luke Hemmings x Michael Clifford,Luke Hemmings x Michael Clifford,5 Seconds of Summer,True,M / M,White,str8,False,No,conflicted,No,Australia,English,2,Luke Hemmings,Michael Clifford,,
9-1-1 - Carlos Reyes x TK Strand,Carlos Reyes x TK Strand,9-1-1,False,M / M,Latin / White,bi / gay,False,Yes,aligned,No,USA,English,2,Carlos Reyes,TK Strand,,
9-1-1 - Eddie Diaz x Evan 'Buck' Buckley,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,False,M / M,Latin / White,str8 / bi,False,No,conflicted,No,USA,English,2,Eddie Diaz,Evan 'Buck' Buckley,,
9-1-1 - Evan 'Buck' Buckley x Thomas 'Tommy' Kinard,Evan 'Buck' Buckley x Thomas 'Tommy' Kinard,9-1-1,False,M / M,White,bi / gay,False,Yes,aligned,No,USA,English,2,Evan 'Buck' Buckley,Thomas 'Tommy' Kinard,,
A Song of Ice and Fire / Game of Thrones Universe - Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,A Song of Ice and Fire / Game of Thrones Universe,False,M / M,White,unspecified,False,No,ambiguous,Yes,USA,English,2,Aemond 'One-Eye' Targaryen,Lucerys 'Luke' Velaryon,,
A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower x Rhaenyra Targaryen,Alicent Hightower x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,False,F / F,White,str8 / bi,False,No,conflicted,non-blood related,USA,English,2,Alicent Hightower,Rhaenyra Targaryen,,
A Song of Ice and Fire / Game of Thrones Universe - Arya Stark x Gendry Waters,Arya Stark x Gendry Waters,A Song of Ice and Fire / Game of Thrones Universe,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Arya Stark,Gendry Waters,,
A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth x Jaime Lannister,Brienne of Tarth x Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Brienne of Tarth,Jaime Lannister,,
A Song of Ice and Fire / Game of Thrones Universe - Daemon Targaryen x Rhaenyra Targaryen,Daemon Targaryen x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,False,M / F,White,str8 / bi,False,Yes,aligned,Yes,USA,English,2,Daemon Targaryen,Rhaenyra Targaryen,,
A Song of Ice and Fire / Game of Thrones Universe - Daenerys Targaryen | Khaleesi x Jon Snow,Daenerys Targaryen | Khaleesi x Jon Snow,A Song of Ice and Fire / Game of Thrones Universe,False,F / M,White,str8,False,Yes,aligned,Yes,USA,English,2,Daenerys Targaryen | Khaleesi,Jon Snow,,
