Rank,Relationship,Fandom,Total Works
`[1, None]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),2366
`[2, None]`,`['Rose Lalonde', 'Kanaya Maryam']`,Homestuck,1839
`[3, None]`,`['Santana Lopez', 'Brittany S. Pierce']`,Glee,1613
`[4, None]`,`['Rachel Berry', 'Quinn Fabray']`,Glee,1251
`[5, None]`,`['Myka Bering', 'Helena "H. G." Wells']`,Warehouse 13,945
`[6, None]`,`['Allison Argent', 'Lydia Martin']`,Teen Wolf (TV),787
`[7, None]`,`['Maura Isles', 'Jane Rizzoli']`,Rizzoli & Isles,647
`[8, None]`,`['Krista Lenz | Historia Reiss', 'Ymir']`,Shingeki no Kyojin | Attack on Titan,638
`[9, None]`,`['Tara Maclay', 'Willow Rosenberg']`,Buffy the Vampire Slayer,534
`[10, None]`,`['Gwen', 'Morgana (Merlin)']`,Merlin (TV),517
`[11, None]`,`['Pepper Potts', 'Natasha Romanov']`,The Avengers (Marvel Movies),494
`[12, None]`,`['Chloe', 'Beca Mitchell']`,Pitch Perfect (2012),474
`[13, None]`,`['Faith Lehane', 'Buffy Summers']`,Buffy the Vampire Slayer,428
`[14, None]`,`['Anna', 'Elsa (Frozen)']`,Frozen (2013),416
`[15, None]`,`['Terezi Pyrope', 'Vriska Serket']`,Homestuck,398
`[16, None]`,`['Kahlan Amnell', 'Cara Mason']`,Legend of the Seeker,392
`[17, None]`,`['Quinn Fabray', 'Santana Lopez']`,Glee,385
`[18, None]`,`['Jane Crocker', 'Roxy Lalonde']`,Homestuck,348
`[19, None]`,`['Delphine Cormier', 'Cosima Niehaus']`,Orphan Black (TV),347
`[20, None]`,`['Miranda Priestly', 'Andrea Sachs']`,The Devil Wears Prada (2006),346
`[21, None]`,`['Rachel Berry', 'Santana Lopez']`,Glee,340
`[22, None]`,`['Mikasa Ackerman', 'Annie Leonhart']`,Shingeki no Kyojin | Attack on Titan,315
`[23, None]`,`['Female Shepard', 'Liara T"Soni']`,Mass Effect,309
`[24, None]`,`['Kanaya Maryam', 'Vriska Serket']`,Homestuck,308
`[25, '=']`,`['Jemma Simmons', 'Skye']`,Agents of S.H.I.E.L.D. (TV),299
`[25, '=']`,`['Cosette Fauchelevent', 'Éponine Thénardier']`,Les Misérables - All Media Types,299
`[27, None]`,`['Bo', 'Lauren']`,Lost Girl,298
`[28, None]`,`['Sam Carter', 'Janet Fraiser']`,Stargate SG-1,276
`[29, None]`,`['Arizona Robbins', 'Calliope "Callie" Torres']`,Grey"s Anatomy,243
`[30, None]`,`['Alicia Florrick', 'Kalinda Sharma']`,The Good Wife (TV),230
`[31, None]`,`['Sansa Stark', 'Margaery Tyrell']`,Game of Thrones (TV),224
`[32, None]`,`['Ashlyn Harris', 'Ali Krieger']`,Women"s Soccer RPF,223
`[33, None]`,`['Gabrielle', 'Xena']`,Xena: Warrior Princess,218
`[34, None]`,`['Jade Harley', 'Rose Lalonde']`,Homestuck,204
`[35, None]`,`['Female Hawke', 'Isabela']`,Dragon Age - All Media Types,201
`[36, None]`,`['Irene Adler', 'Molly Hooper']`,Sherlock (TV),196
`[37, None]`,`['Princess Bubblegum', 'Marceline']`,Adventure Time,193
`[38, None]`,`['Tobin Heath', 'Alex Morgan']`,Women"s Soccer RPF,191
`[39, None]`,`['Aurora', 'Mulan']`,Once Upon a Time (TV),185
`[40, None]`,`['Luna Lovegood', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,184
`[41, None]`,`['Korra', 'Asami Sato']`,Avatar: Legend of Korra,178
`[42, None]`,`['Belle', 'Red Riding Hood | Ruby']`,Once Upon a Time (TV),176
`[43, None]`,`['Hermione Granger', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,175
`[44, None]`,`['Willow Rosenberg', 'Buffy Summers']`,Buffy the Vampire Slayer,165
`[45, None]`,`['Anna Milton', 'Ruby']`,Supernatural,160
`[46, None]`,`['Jenny Flint', 'Madame Vastra']`,Doctor Who (2005),153
`[47, None]`,`['Cora Hale', 'Lydia Martin']`,Teen Wolf (TV),152
`[48, '=']`,`['Maria Hill', 'Natasha Romanov']`,The Avengers (Marvel Movies),152
`[48, '=']`,`['Akemi Homura', 'Kaname Madoka']`,Puella Magi Madoka Magica,152
`[50, None]`,`['Jennifer "JJ" Jareau', 'Emily Prentiss']`,Criminal Minds,151
