Rank,Change,Relationship,Fandom,Total Works,Type,Race
"[1, None]","[None, 0]","['Castiel', 'Dean Winchester']",Supernatural,79650,"['M', 'M']",White
"[2, None]","[None, 0]","['Sherlock Holmes', 'John Watson']",Sherlock (TV),59436,"['M', 'M']",White
"[3, None]","[None, 0]","['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),56021,"['M', 'M']",White
"[4, None]","['+', 1]","['James ""Bucky"" Barnes', 'Steve Rogers']",Captain America (Movies),43515,"['M', 'M']",White
"[5, None]","['+', 2]","['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,33110,"['M', 'M']",White
"[6, None]","['-', 2]","['Harry Styles', 'Louis Tomlinson']",One Direction (Band),32449,"['M', 'M']",White
"[7, None]","['+', 1]","['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),30700,"['M', 'M']",White
"[8, None]","['+', 9]","['Keith', 'Lance (Voltron)']",Voltron: Legendary Defender,27848,"['M', 'M']",Amb/POC
"[9, None]","['-', 3]","['Dean Winchester', 'Sam Winchester']",Supernatural,26287,"['M', 'M']",White
"[10, None]","['+', 2]","['Katsuki Yuuri', 'Victor Nikiforov']",Yuri!!! on Ice (Anime),22515,"['M', 'M']",Whi/POC
"[11, None]","['+', 11]","['Magnus Bane', 'Alec Lightwood']",Shadowhunters (TV),21224,"['M', 'M']",Whi/POC
"[12, None]","['-', 3]","['Merlin', 'Arthur Pendragon']",Merlin (TV),21068,"['M', 'M']",White
"[13, None]","['+', 33]","['Jeon Jungkook', 'Kim Taehyung | V']",Bangtan Boys | BTS,18118,"['M', 'M']",POC
"[14, None]","['+', 27]","['Min Yoongi | Suga', 'Park Jimin']",Bangtan Boys | BTS,16849,"['M', 'M']",POC
"[15, None]","['-', 5]","['Sherlock Holmes', 'John Watson']",Sherlock (TV),16630,Gen,White
"[16, None]","['+', 5]","['Dan Howell', 'Phil Lester']",Phandom/The Fantastic Foursome (YouTube RPF),15554,"['M', 'M']",White
"[17, None]","['-', 6]","['Blaine Anderson', 'Kurt Hummel']",Glee,15245,"['M', 'M']",Whi/POC
"[18, None]","['-', 3]","['Will Graham', 'Hannibal Lecter']",Hannibal (TV),15214,"['M', 'M']",White
"[19, None]","[None, 0]","['Sirius Black', 'Remus Lupin']",Harry Potter - J. K. Rowling,14755,"['M', 'M']",White
"[20, None]","['+', 35]","['Adrien Agreste | Chat Noir', 'Marinette Dupain-Cheng | Ladybug']",Miraculous Ladybug,14477,"['F', 'M']",Whi/POC
"[21, None]","['+', 18]","['Pepper Potts', 'Tony Stark']",The Avengers (Marvel Movies),13847,"['F', 'M']",White
