Rank,Change,Relationship,Fandom,New Works,Total Works,Type,Race
"[1, None]","['+', 15]","['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),20298,28726,"['M', 'M']",White
"[2, None]","['+', 72]","['Lán Zhàn | Lán Wàngjī', 'Wèi Yīng | Wèi Wúxiàn']",魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,10671,13130,"['M', 'M']",POC
"[3, None]","['+', 8]","['Rey', 'Ben Solo | Kylo Ren']",Star Wars Sequel Trilogy,9076,21306,"['F', 'M']",White
"[4, None]","['+', 28]","['Eddie Kaspbrak', 'Richie Tozier']",IT (Movies – Muschietti),8441,12227,"['M', 'M']",White
"[5, None]","['New', None]","['Geralt z Rivii | Geralt of Rivia', 'Jaskier | Dandelion']",The Witcher (TV),7573,7573,"['M', 'M']",White
"[6, None]","['+', 1]","['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,7239,40312,"['M', 'M']",White
"[7, None]","['+', 5]","['Bakugou Katsuki', 'Midoriya Izuku']",Boku no Hero Academia | My Hero Academia,7070,16824,"['M', 'M']",POC
"[8, None]","[None, 0]","['Peter Parker', 'Tony Stark']",Marvel Cinematic Universe,6807,17366,Gen,White
"[9, None]","['-', 7]","['James ""Bucky"" Barnes', 'Steve Rogers']",Captain America (Movies),6262,49659,"['M', 'M']",White
"[10, None]","['+', 4]","['Bakugou Katsuki', 'Kirishima Eijirou']",Boku no Hero Academia | My Hero Academia,6141,15375,"['M', 'M']",POC
"[11, None]","['-', 5]","['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),5613,36264,"['M', 'M']",White
"[12, None]","['+', 68]","['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),5503,7928,Gen,White
"[13, None]","['-', 8]","['Jeon Jungkook', 'Kim Taehyung | V']",Bangtan Boys | BTS,5254,23339,"['M', 'M']",POC
"[14, None]","['+', 5]","['Adrien Agreste | Chat Noir', 'Marinette Dupain-Cheng | Ladybug']",Miraculous Ladybug,5183,19631,"['F', 'M']",Whi/POC
"[15, None]","['+', 5]","['Midoriya Izuku', 'Todoroki Shouto']",Boku no Hero Academia | My Hero Academia,5001,14073,"['M', 'M']",POC
"[16, None]","['-', 13]","['Castiel', 'Dean Winchester']",Supernatural,4927,84563,"['M', 'M']",White
