Rank,Change,Relationship,Fandom,Total Works,Type,Race
`[1, None]`,`[None, 0]`,`['Castiel', 'Dean Winchester']`,Supernatural,84563,`['M', 'M']`,White
`[2, None]`,`[None, 0]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),61544,`['M', 'M']`,White
`[3, None]`,`[None, 0]`,`['Derek Hale', 'Stiles Stilinski']`,Teen Wolf (TV),59286,`['M', 'M']`,White
`[4, None]`,`[None, 0]`,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),49659,`['M', 'M']`,White
`[5, None]`,`[None, 0]`,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,40312,`['M', 'M']`,White
`[6, None]`,`['+', 1]`,`['Steve Rogers', 'Tony Stark']`,The Avengers (Marvel Movies),36264,`['M', 'M']`,White
`[7, None]`,`['-', 1]`,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),33126,`['M', 'M']`,White
`[8, None]`,`[None, 0]`,`['Keith', 'Lance (Voltron)']`,Voltron: Legendary Defender,30317,`['M', 'M']`,Amb/POC
`[9, None]`,`['+', 50]`,`['Aziraphale', 'Crowley (Good Omens)']`,Good Omens (TV),28208,`['M', 'M']`,White
`[10, None]`,`['-', 1]`,`['Dean Winchester', 'Sam Winchester']`,Supernatural,27696,`['M', 'M']`,White
`[11, None]`,`[None, 0]`,`['Magnus Bane', 'Alec Lightwood']`,Shadowhunters (TV),24787,`['M', 'M']`,Whi/POC
`[12, None]`,`['-', 2]`,`['Katsuki Yuuri', 'Victor Nikiforov']`,Yuri!!! on Ice (Anime),24333,`['M', 'M']`,Whi/POC
`[13, None]`,`[None, 0]`,`['Jeon Jungkook', 'Kim Taehyung | V']`,Bangtan Boys | BTS,23339,`['M', 'M']`,POC
`[14, None]`,`['+', 15]`,`['Rey', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,21306,`['F', 'M']`,White
`[15, None]`,`['-', 1]`,`['Min Yoongi | Suga', 'Park Jimin']`,Bangtan Boys | BTS,19851,`['M', 'M']`,POC
`[16, None]`,`['+', 4]`,`['Adrien Agreste | Chat Noir', 'Marinette Dupain-Cheng | Ladybug']`,Miraculous Ladybug,19631,`['F', 'M']`,Whi/POC
`[17, None]`,`['-', 5]`,`['Merlin', 'Arthur Pendragon (Merlin)']`,Merlin (TV),18688,`['M', 'M']`,White
`[18, None]`,`['+', 7]`,`['Jeon Jungkook', 'Park Jimin']`,Bangtan Boys | BTS,17867,`['M', 'M']`,POC
`[19, None]`,`[None, 0]`,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,17686,`['M', 'M']`,White
