Rank,Change,Relationship,Fandom,New Works,Total Works,Type,Race
`[1, None]`,`['+', 9]`,`['Steve Harrington', 'Eddie Munson']`,Stranger Things (TV 2016),13273,19870,`['M', 'M']`,`['White', 'White']`
`[2, None]`,`['+', 2]`,`['Sirius Black', 'Remus Lupin']`,Harry Potter - J. K. Rowling,8453,40881,`['M', 'M']`,`['White', 'White']`
`[3, None]`,`['New', None]`,`['Alhaitham', 'Kaveh (Genshin Impact)']`,原神 | Genshin Impact (Video Game),6837,6837,`['M', 'M']`,`['MENA', 'MENA']`
`[4, None]`,`['+', 15]`,`['Dazai Osamu', 'Nakahara Chuuya (Bungou Stray Dogs)']`,文豪ストレイドッグス | Bungou Stray Dogs,6329,24005,`['M', 'M']`,`['Asian', 'Asian']`
`[5, None]`,`['New', None]`,`['John "Soap" MacTavish', 'Simon "Ghost" Riley']`,Call of Duty (Video Games),6321,6321,`['M', 'M']`,`['White', 'White']`
`[6, None]`,`['+', 55]`,`['Regulus Black', 'James Potter']`,Harry Potter - J. K. Rowling,6047,9178,`['M', 'M']`,`['White', 'White']`
`[7, None]`,`['-', 2]`,`['Blackbeard | Edward Teach', 'Stede Bonnet']`,Our Flag Means Death (TV),6021,13595,`['M', 'M']`,`['Indig', 'White']`
`[8, None]`,`['-', 2]`,`['Bakugou Katsuki', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,5801,38415,`['M', 'M']`,`['Asian', 'Asian']`
`[9, None]`,`['-', 8]`,`['Wilbur Soot', 'TommyInnit']`,Minecraft (Video Game),5041,20602,Gen,`['White', 'White']`
`[10, None]`,`['+', 29]`,`['Will Byers', 'Mike Wheeler']`,Stranger Things (TV 2016),4921,9846,`['M', 'M']`,`['White', 'White']`
`[11, None]`,`['New', None]`,`['Wednesday Addams', 'Enid Sinclair']`,Wednesday (TV 2022),4808,4808,`['F', 'F']`,`['Latino', 'White']`
`[12, None]`,`['+', 6]`,`['Hermione Granger', 'Draco Malfoy']`,Harry Potter - J. K. Rowling,4710,24827,`['F', 'M']`,`['Ambig', 'White']`
`[13, None]`,`['-', 11]`,`['Wilbur Soot', 'Technoblade', 'TommyInnit', 'Phil Watson']`,Minecraft (Video Game),3961,19889,Gen,`['White', 'White']`
`[14, None]`,`['+', 36]`,`['Han Jisung | Han', 'Lee Minho | Lee Know']`,Stray Kids (Band),3880,11772,`['M', 'M']`,`['Asian', 'Asian']`
`[15, None]`,`['+', 44]`,`['Robin Buckley', 'Nancy Wheeler']`,Stranger Things (TV 2016),3767,6195,`['F', 'F']`,`['White', 'White']`
`[16, None]`,`['New', None]`,`['Dream of the Endless', 'Hob Gadling']`,The Sandman (TV 2022),3562,3562,`['M', 'M']`,`['White', 'Asian']`
`[17, None]`,`['New', None]`,`['Daemon Targaryen', 'Rhaenyra Targaryen']`,House of the Dragon (TV),3488,3488,`['F', 'M']`,`['White', 'White']`
`[18, None]`,`['+', 15]`,`['Amity Blight', 'Luz Noceda']`,The Owl House (Cartoon),3396,10722,`['F', 'F']`,`['White', 'Af Lat']`
`[19, None]`,`['-', 5]`,`['Aziraphale', 'Crowley (Good Omens)']`,Good Omens (TV),3296,45362,Other,`['White', 'White']`
`[20, None]`,`['+', 63]`,`['Robin Buckley', 'Steve Harrington']`,Stranger Things (TV 2016),3248,5815,Gen,`['White', 'White']`
`[21, None]`,`['+', 2]`,`['James Potter', 'Lily Evans Potter']`,Harry Potter - J. K. Rowling,3148,22759,`['F', 'M']`,`['White', 'White']`
`[22, None]`,`['New', None]`,`['Marlene McKinnon', 'Dorcas Meadowes']`,Harry Potter - J. K. Rowling,3109,6243,`['F', 'F']`,`['White', 'Black']`
`[23, None]`,`['-', 8]`,`['Tartaglia | Childe', 'Zhongli (Genshin Impact)']`,原神 | Genshin Impact (Video Game),3037,12678,`['M', 'M']`,`['White', 'Asian']`
`[24, None]`,`['New', None]`,`['Vash the Stampede', 'Nicholas D. Wolfwood']`,Trigun Stampede (Anime 2023),3007,3007,`['M', 'M']`,`['Ambig', 'Asian']`
`[25, None]`,`['New', None]`,`['Aemond "One-Eye" Targaryen', 'Lucerys Velaryon (Son of Rhaenyra)']`,House of the Dragon (TV),2914,2914,`['M', 'M']`,`['White', 'White']`
`[26, None]`,`['-', 23]`,`['Lán Zhàn | Lán Wàngjī', 'Wèi Yīng | Wèi Wúxiàn']`,Módào Zǔshī - Mòxiāng Tóngxiù,2855,34632,`['M', 'M']`,`['Asian', 'Asian']`
`[27, None]`,`['New', None]`,`['Donatello', 'Leonardo', 'Michelangelo', 'Raphael (TMNT)']`,Rise of the Teenage Mutant Ninja Turtles,2769,3367,Gen,`['N.H.', 'N.H.']`
`[28, None]`,`['-', 6]`,`['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic']`,Boku no Hero Academia | My Hero Academia,2753,20071,`['M', 'M']`,`['Asian', 'Asian']`
`[29, None]`,`['New', None]`,`['Cyno', 'Tighnari (Genshin Impact)']`,原神 | Genshin Impact (Video Game),2705,2705,`['M', 'M']`,`['MENA', 'MENA']`
`[30, None]`,`['New', None]`,`['Pete Phongsakorn Saengtham', 'Vegas Kornwit Theerapanyakun']`,KinnPorsche: The Series (TV),2677,3833,`['M', 'M']`,`['Asian', 'Asian']`
`[31, None]`,`['-', 20]`,`['Evan "Buck" Buckley', 'Eddie Diaz (9-1-1 TV)']`,9-1-1 (TV),2645,17540,`['M', 'M']`,`['White', 'Latino']`
`[32, None]`,`['-', 2]`,`['Bakugou Katsuki', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,2618,15709,Gen,`['Asian', 'Asian']`
`[33, None]`,`['-', 17]`,`['Technoblade', 'TommyInnit (Video Blogging RPF)']`,Minecraft (Video Game),2552,12452,Gen,`['White', 'White']`
`[34, None]`,`['-', 27]`,`['Draco Malfoy', 'Harry Potter']`,Harry Potter - J. K. Rowling,2542,59048,`['M', 'M']`,`['White', 'White']`
`[35, None]`,`['New', None]`,`['Barty Crouch Jr.', 'Evan Rosier']`,Harry Potter - J. K. Rowling,2456,2456,`['M', 'M']`,`['White', 'Ambig']`
`[36, None]`,`['-', 9]`,`['Jeon Jungkook', 'Kim Taehyung | V']`,Bangtan Boys | BTS,2396,35024,`['M', 'M']`,`['Asian', 'Asian']`
`[37, None]`,`['-', 3]`,`['Aizawa Shouta | Eraserhead', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,2347,11220,Gen,`['Asian', 'Asian']`
`[38, None]`,`['New', None]`,`['Craig Tucker', 'Tweek Tweak']`,South Park,2256,7542,`['M', 'M']`,`['White', 'White']`
`[39, None]`,`['New', None]`,`['Porsche Pachara Kittisawat', 'Kinn Anakinn Theerapanyakun']`,KinnPorsche: The Series (TV),2255,3633,`['M', 'M']`,`['Asian', 'Asian']`
`[40, None]`,`['New', None]`,`['Nicholas "Nick" Nelson', 'Charles "Charlie" Spring']`,Heartstopper (TV),2249,3904,`['M', 'M']`,`['White', 'White']`
`[41, None]`,`['New', None]`,`['Kamishiro Rui', 'Tenma Tsukasa']`,Project SEKAI COLORFUL STAGE!,2229,3010,`['M', 'M']`,`['Asian', 'Asian']`
`[42, None]`,`['New', None]`,`['Porchay Pichaya Kittisawat', 'Kim Khimhant Theerapanyakun']`,KinnPorsche: The Series (TV),2175,2881,`['M', 'M']`,`['Asian', 'Asian']`
`[43, '=']`,`['New', None]`,`['Dazai Osamu', 'Nakahara Chuuya (Bungou Stray Dogs)']`,文豪ストレイドッグス | Bungou Stray Dogs,2111,5642,Gen,`['Asian', 'Asian']`
`[43, '=']`,`['New', None]`,`['Tom "Iceman" Kazansky', 'Pete "Maverick" Mitchell']`,Top Gun (Movies),2111,2813,`['M', 'M']`,`['White', 'White']`
`[45, None]`,`['-', 37]`,`['Clay | Dream', 'GeorgeNotFound (Video Blogging RPF)']`,Video Blogging RPF,2069,22989,`['M', 'M']`,`['White', 'White']`
`[46, None]`,`['+', 2]`,`['Olivia Benson', 'Elliot Stabler']`,Law & Order: SVU,2036,5650,`['F', 'M']`,`['White', 'White']`
`[47, None]`,`['New', None]`,`['Sister Beatrice', 'Ava Silva']`,Warrior Nun (TV),2007,2640,`['F', 'F']`,`['Asian', 'Latino']`
`[48, None]`,`['-', 2]`,`['Getou Suguru', 'Gojo Satoru']`,呪術廻戦 | Jujutsu Kaisen (Manga),2003,7482,`['M', 'M']`,`['Asian', 'Asian']`
`[49, None]`,`['New', None]`,`['Bradley "Rooster" Bradshaw', 'Jake "Hangman" Seresin']`,Top Gun (Movies),1991,2535,`['M', 'M']`,`['White', 'White']`
`[50, None]`,`['+', 7]`,`['Huā Chéng', 'Xiè Lián (Tiān Guān Cì Fú)']`,Tiān Guān Cì Fú - Mòxiāng Tóngxiù,1980,7673,`['M', 'M']`,`['Asian', 'Asian']`
`[51, None]`,`['New', None]`,`['Kyle Broflovski', 'Stan Marsh']`,South Park,1962,4689,`['M', 'M']`,`['White', 'White']`
`[52, None]`,`['New', None]`,`['Hunter | The Golden Guard', 'Willow Park']`,The Owl House (Cartoon),1958,2647,`['F', 'M']`,`['White', 'Asian']`
