Rank,Change,Relationship,Fandom,Total Works,Race
`[1, None]`,`['+', 0]`,`['Kara Danvers', 'Lena Luthor']`,Supergirl (TV 2015),19455,`['White', 'White']`
`[2, None]`,`['+', 0]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),14632,`['Latino', 'White']`
`[3, None]`,`['+', 0]`,`['Clarke Griffin', 'Lexa']`,The 100 (TV),12568,`['White', 'White']`
`[4, None]`,`['+', 1]`,`['Amity Blight', 'Luz Noceda']`,The Owl House (Cartoon),10722,`['White', 'Af Lat']`
`[5, None]`,`['-', 1]`,`['Adora', 'Catra (She-Ra)']`,She-Ra and the Princesses of Power (2018),10525,`['White', 'Latino']`
`[6, None]`,`['+', 0]`,`['Blake Belladonna', 'Yang Xiao Long']`,RWBY,6945,`['Asian', 'Asian']`
`[7, None]`,`['+', 0]`,`['Korra', 'Asami Sato']`,Avatar: Legend of Korra,6579,`['Indig', 'Asian']`
`[8, None]`,`['+', 15]`,`['Marlene McKinnon', 'Dorcas Meadowes']`,Harry Potter - J. K. Rowling,6243,`['White', 'Black']`
`[9, None]`,`['+', 23]`,`['Robin Buckley', 'Nancy Wheeler']`,Stranger Things (TV 2016),6195,`['White', 'White']`
`[10, None]`,`['-', 2]`,`['Alex Danvers', 'Maggie Sawyer']`,Supergirl (TV 2015),6024,`['White', 'Latino']`
`[11, None]`,`['-', 1]`,`['Jirou Kyouka', 'Yaoyorozu Momo']`,Boku no Hero Academia | My Hero Academia,6023,`['Asian', 'Asian']`
`[12, None]`,`['-', 3]`,`['Waverly Earp', 'Nicole Haught']`,Wynonna Earp (TV),5853,`['White', 'White']`
`[13, None]`,`['+', 4]`,`['Caitlyn', 'Vi (League of Legends)']`,Arcane: League of Legends (Cartoon 2021),5671,`['Asian', 'White']`
`[14, None]`,`['-', 1]`,`['Ruby Rose', 'Weiss Schnee']`,RWBY,5165,`['Asian', 'White']`
`[15, None]`,`['-', 3]`,`['Rose Lalonde', 'Kanaya Maryam']`,Homestuck,5069,`['Ambig', 'N.H.']`
`[16, None]`,`['-', 5]`,`['Laura Hollis', 'Carmilla Karnstein']`,Carmilla (Web Series),4960,`['White', 'White']`
`[17, None]`,`['New', None]`,`['Wednesday Addams', 'Enid Sinclair']`,Wednesday (TV 2022),4808,`['Latino', 'White']`
`[18, None]`,`['-', 4]`,`['Chloe Beale', 'Beca Mitchell']`,Pitch Perfect (Movies),4688,`['White', 'White']`
`[19, None]`,`['-', 4]`,`['Alphys', 'Undyne (Undertale)']`,Undertale (Video Game),4395,`['N.H.', 'N.H.']`
`[20, None]`,`['-', 4]`,`['Krista Lenz | Historia Reiss', 'Ymir of the 104th']`,Shingeki no Kyojin | Attack on Titan,4180,`['White', 'White']`
`[21, None]`,`['-', 2]`,`['Thirteenth Doctor', 'Yasmin Khan']`,Doctor Who (2005),3903,`['White', 'Asian']`
`[22, None]`,`['-', 4]`,`['Eve Polastri', 'Villanelle | Oksana Astankova']`,Killing Eve (TV 2018),3640,`['Asian', 'White']`
`[23, None]`,`['+', 0]`,`['Luna Lovegood', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,3362,`['White', 'White']`
`[24, None]`,`['+', 3]`,`['Maxine "Max" Caulfield', 'Chloe Price']`,Life Is Strange (Video Game),3232,`['White', 'White']`
`[25, None]`,`['-', 5]`,`['Santana Lopez', 'Brittany S. Pierce']`,Glee,3221,`['Af Lat', 'White']`
`[26, None]`,`['-', 5]`,`['Kara Danvers', 'Cat Grant']`,Supergirl (TV 2015),3162,`['White', 'White']`
`[27, None]`,`['-', 1]`,`['Asui Tsuyu', 'Uraraka Ochako']`,Boku no Hero Academia | My Hero Academia,3138,`['Asian', 'Asian']`
`[28, None]`,`['-', 3]`,`['Sara Lance', 'Ava Sharpe']`,DC"s Legends of Tomorrow (TV),3110,`['White', 'White']`
`[29, None]`,`['-', 7]`,`['Root | Samantha Groves', 'Sameen Shaw']`,Person of Interest (TV),3099,`['White', 'MENA']`
`[30, None]`,`['+', 0]`,`['Miranda Priestly', 'Andrea Sachs']`,The Devil Wears Prada (2006),2995,`['White', 'White']`
`[31, None]`,`['+', 10]`,`['Beidou', 'Ningguang (Genshin Impact)']`,原神 | Genshin Impact (Video Game),2816,`['Asian', 'Asian']`
`[32, None]`,`['-', 4]`,`['Rachel Berry', 'Quinn Fabray']`,Glee,2745,`['White', 'White']`
`[33, None]`,`['+', 26]`,`['Maya Bishop', 'Carina DeLuca']`,Station 19 (TV),2703,`['White', 'White']`
`[34, None]`,`['+', 0]`,`['Pamela Isley', 'Harleen Quinzel']`,Batman - All Media Types,2645,`['N.H.', 'White']`
`[35, None]`,`['New', None]`,`['Sister Beatrice', 'Ava Silva']`,Warrior Nun (TV),2640,`['Asian', 'Latino']`
`[36, None]`,`['+', 24]`,`['Raiden Ei | Baal', 'Yae Miko']`,原神 | Genshin Impact (Video Game),2636,`['Asian', 'Asian']`
`[37, None]`,`['-', 6]`,`['Fareeha "Pharah" Amari', 'Angela "Mercy" Ziegler']`,Overwatch (Video Game),2538,`['MENA', 'White']`
`[38, None]`,`['-', 5]`,`['Anna', 'Elsa (Disney)']`,Frozen (Disney Movies),2495,`['Indig', 'Indig']`
`[39, None]`,`['-', 10]`,`['Serena Campbell', 'Bernie Wolfe']`,Holby City,2454,`['White', 'White']`
`[40, None]`,`['-', 4]`,`['Hope Mikaelson', 'Josie Saltzman']`,Legacies (TV 2018),2430,`['White', 'White']`
`[41, None]`,`['+', 2]`,`['Wanda Maximoff', 'Natasha Romanov']`,Marvel Cinematic Universe,2365,`['White', 'White']`
`[42, None]`,`['-', 4]`,`['Cheryl Blossom', 'Toni Topaz']`,Riverdale (TV 2017),2351,`['White', 'Black']`
`[43, None]`,`['+', 3]`,`['Jean', 'Lisa (Genshin Impact)']`,原神 | Genshin Impact (Video Game),2340,`['White', 'White']`
`[44, None]`,`['-', 7]`,`['Lapis Lazuli', 'Peridot (Steven Universe)']`,Steven Universe (Cartoon),2329,`['N.H.', 'N.H.']`
`[45, None]`,`['-', 6]`,`['Beauregard Lionett', 'Yasha']`,Critical Role (Web Series),2268,`['Ambig', 'White']`
`[46, None]`,`['-', 4]`,`['Jennifer "JJ" Jareau', 'Emily Prentiss']`,Criminal Minds (US TV),2251,`['White', 'White']`
`[47, None]`,`['-', 12]`,`['Peggy Carter', 'Angie Martinelli']`,Agent Carter (TV),2243,`['White', 'White']`
`[48, None]`,`['-', 8]`,`['Maria Hill', 'Natasha Romanov']`,Marvel Cinematic Universe,2217,`['White', 'White']`
`[49, None]`,`['-', 5]`,`['Hermione Granger', 'Pansy Parkinson']`,Harry Potter - J. K. Rowling,2187,`['Ambig', 'White']`
`[50, None]`,`['New', None]`,`['Mary Macdonald', 'Lily Evans Potter']`,Harry Potter - J. K. Rowling,2115,`['Ambig', 'White']`
`[51, None]`,`['+', 0]`,`['Juleka Couffaine', 'Rose Lavillant']`,Miraculous Ladybug,1980,`['White', 'White']`
`[52, None]`,`['-', 3]`,`['Diana Cavendish', 'Atsuko "Akko" Kagari']`,Little Witch Academia,1926,`['White', 'Asian']`
`[53, None]`,`['+', 34]`,`['Eleven | Jane Hopper', 'Maxine "Max" Mayfield']`,Stranger Things (TV 2016),1914,`['White', 'White']`
`[54, None]`,`['+', 1]`,`['Maura Isles', 'Jane Rizzoli']`,Rizzoli & Isles,1910,`['White', 'White']`
`[55, None]`,`['+', 7]`,`['Hermione Granger', 'Bellatrix Black Lestrange']`,Harry Potter - J. K. Rowling,1890,`['Ambig', 'White']`
